category,subcategory,en,zh-tw,alt-en,alt-zh,note
規則,文化,Environment,生活環境,,,
規則,文化,Organization,組織型態,,,
規則,文化,Upbringing,成長經歷,,,
規則,主要動作,Charge,衝鋒,,,
規則,主要動作,Defend,防禦,,,
規則,主要動作,Heal,治療,,,
規則,主要動作,Melee Free Strike,近戰基礎打擊,,,
規則,主要動作,Ranged Free Strike,遠程基礎打擊,,,
規則,生物定位,Ambusher,伏兵,,,
規則,生物定位,Artillery,砲兵,,,
規則,生物定位,Brute,鬥士,,,
規則,生物定位,Controller,控場,,,
規則,生物定位,Defender,肉盾,,,
規則,生物定位,Harrier,騷擾,,,
規則,生物定位,Hexer,減益,,,
規則,生物定位,Mount,坐騎,,,
規則,生物定位,Support,支援,,,
規則,生物組織,Minion,雜魚,,,
規則,生物組織,Horde,散兵,,,
規則,生物組織,Platoon,正兵,,,
規則,生物組織,Elite,精英,,,
規則,生物組織,Leader,首領,,,
規則,生物組織,Solo,獨霸,,,
規則,休整專案,Crafting,製造,,,
規則,招式,Claw Dirt,挖土,,,
規則,招式,Raider's Awe,氣勢突擊,Shock and Awe,氣勢衝擊,1.01 將掠奪者招牌招式改名為 Raider's Awe；舊名 Shock and Awe／氣勢衝擊留給戰術家 7 級 Doctrine Feature
規則,狀態,Bleeding,出血,,,
規則,狀態,Dazed,暈眩,,,
規則,狀態,Frightened,畏縮,,,
規則,狀態,Grabbed,擒制,,,
規則,狀態,Prone,伏地,,,
規則,狀態,Restrained,束縛,,,
規則,狀態,Slowed,緩速,,,
規則,狀態,Taunted,嘲諷,,,
規則,狀態,Weakened,虛弱,,,
規則,英雄資源,Clarity,明晰,,,
規則,英雄資源,Discipline,紀律,,,
規則,英雄資源,Drama,張力,,,
規則,英雄資源,Essence,精髓,,,
規則,英雄資源,Ferocity,狠勁,,,
規則,英雄資源,Focus,專注,,,
規則,英雄資源,Insight,洞察,,,
規則,英雄資源,Piety,虔誠,,,
規則,英雄資源,Wrath,怒火,,,
規則,追隨者,Artisan,工匠,,,
規則,追隨者,Retainer,隨從,,,
規則,追隨者,Sage,學者,,,
規則,專案,Research,研究,,,
規則,族裔,Devil,魔鬼,,,
規則,族裔,Dragon Knight,龍騎士,,,
